name,year,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
annual.order_fixed.platt,2023,242,124,0.512396694214876,0.5001031565917062,0.4969396877793824,0.2569866698527218,0.7081606459016878,0.45867768595041325,0.3512396694214876,0.47222050512117036,0.08071556292315887,0.2354166011319446,0.687357401871724
annual.order_fixed.platt,2024,242,133,0.5495867768595041,0.549931693989071,0.5539617486338798,0.2532559809929216,0.7011523566657152,0.49586776859504134,0.5413223140495868,0.5136054024973215,0.10668996847010173,0.2943222709323644,0.7405570305375454
annual.order_fixed.platt,2025,243,137,0.5637860082304527,0.5230700055340343,0.5410902047592695,0.2538236175752041,0.7030121055997988,0.5720164609053497,0.7860082304526749,0.53112511014585,0.07710163762354379,0.26603910207124326,0.7668627909725583
annual.order_fixed.platt,2026,166,101,0.608433734939759,0.5935314685314685,0.5587121212121212,0.2623249193332223,0.7284205378107448,0.5301204819277109,0.7530120481927711,0.5709653094397238,0.0989248834001303,0.3865689726991138,0.8485484561858868
annual.order_fixed.shrink,2023,242,124,0.512396694214876,0.5001031565917062,0.4969396877793824,0.2569866698527218,0.7081606459016878,0.45867768595041325,0.3512396694214876,0.47222050512117036,0.08071556292315887,0.2354166011319446,0.687357401871724
annual.order_fixed.shrink,2024,242,132,0.5454545454545454,0.5458333333333334,0.5540983606557377,0.2534144904440032,0.7014714997644863,0.49586776859504134,0.5454545454545454,0.5141505630487029,0.10693085756058306,0.2943222709323644,0.7405570305375454
annual.order_fixed.shrink,2025,243,140,0.5761316872427984,0.5338613724405091,0.5371472053126729,0.25538263304766023,0.7061687460095132,0.5720164609053497,0.7983539094650206,0.5220690578140023,0.07462790127037201,0.26603910207124326,0.7668627909725583
annual.order_fixed.shrink,2026,166,101,0.608433734939759,0.5935314685314685,0.5587121212121212,0.2623249193332223,0.7284205378107448,0.5301204819277109,0.7530120481927711,0.5709653094397238,0.0989248834001303,0.3865689726991138,0.8485484561858868
annual.frequency.raw,2023,242,131,0.5413223140495868,0.5,0.5,0.24975474101713185,0.6926566564995986,0.45867768595041325,0.0,0.4969173859432799,0.0,0.4969173859432799,0.4969173859432799
annual.frequency.raw,2024,242,122,0.5041322314049587,0.5,0.5,0.24998767316834,0.6931225267906318,0.49586776859504134,0.0,0.498046875,0.0,0.498046875,0.498046875
annual.frequency.raw,2025,243,104,0.4279835390946502,0.5,0.5,0.25229851233102857,0.697745553310344,0.5720164609053497,0.0,0.48550124275062156,1.6653345369377348e-16,0.4855012427506214,0.4855012427506214
annual.frequency.raw,2026,166,78,0.46987951807228917,0.5,0.5,0.25007640892437044,0.6932999987265565,0.5301204819277109,0.0,0.49875724937862476,5.551115123125783e-17,0.4987572493786247,0.4987572493786247
annual.market4.raw,2023,242,106,0.4380165289256198,0.42727460284712193,0.41173234303005296,0.2577322781168291,0.7087284649804989,0.45867768595041325,0.3760330578512397,0.48744545600736067,0.04228290420185784,0.36863823092035325,0.593774264209638
annual.market4.raw,2024,242,139,0.5743801652892562,0.5744535519125683,0.5907786885245901,0.24548564127678105,0.6840793732061307,0.49586776859504134,0.5082644628099173,0.4979220133094418,0.03430175987031789,0.41304343757134976,0.5746035857410006
annual.market4.raw,2025,243,138,0.5679012345679012,0.5920379081350304,0.6022412838959601,0.24800574244198512,0.689160979460309,0.5720164609053497,0.345679012345679,0.4782605033661752,0.05315372752638363,0.3920459464997608,0.6009968110719998
annual.market4.raw,2026,166,84,0.5060240963855421,0.4772727272727273,0.46634615384615385,0.25357208554131355,0.7005035039552933,0.5301204819277109,0.9759036144578314,0.5550639798868467,0.03343066310466046,0.4791844318670874,0.6449851167830326
annual.constant50.raw,2023,242,131,0.5413223140495868,0.5,0.5,0.25,0.6931471805599453,0.45867768595041325,0.0,0.5,0.0,0.5,0.5
annual.constant50.raw,2024,242,122,0.5041322314049587,0.5,0.5,0.25,0.6931471805599453,0.49586776859504134,0.0,0.5,0.0,0.5,0.5
annual.constant50.raw,2025,243,104,0.4279835390946502,0.5,0.5,0.25,0.6931471805599453,0.5720164609053497,0.0,0.5,0.0,0.5,0.5
annual.constant50.raw,2026,166,78,0.46987951807228917,0.5,0.5,0.25,0.6931471805599454,0.5301204819277109,0.0,0.5,0.0,0.5,0.5
quarterly.add.raw,2023,242,131,0.5413223140495868,0.5281961350663641,0.5313252183481191,0.25154530810388953,0.6973977523385856,0.45867768595041325,0.33884297520661155,0.46411417417735756,0.1021311220612682,0.24724947467668554,0.7802278829016913
quarterly.add.raw,2024,242,124,0.512396694214876,0.5129781420765027,0.4974726775956284,0.26744551169561387,0.7323701989098295,0.49586776859504134,0.5702479338842975,0.53120923789386,0.11418192681499358,0.2764698053044828,0.8022046998285873
quarterly.add.raw,2025,243,93,0.38271604938271603,0.41079828444936356,0.40211676812396235,0.27945321131732587,0.7540159359767677,0.5720164609053497,0.29218106995884774,0.4599657223565334,0.08653540441277692,0.1934253575500653,0.6886361634009454
quarterly.add.raw,2026,166,110,0.6626506024096386,0.6548659673659674,0.6019813519813519,0.2535172747554768,0.7091514241593506,0.5301204819277109,0.6385542168674698,0.5483796895423956,0.12606374299761441,0.32453084844472385,0.8113856931825051
