cutoff,grouping,period,rows,sample_share,mean_loss_share,fitted_loss_share,fitted_auxiliary_loss_share,mean_return,return_sd,fitted_mse,fitted_ensemble_mse
2018-12-31,quarter,2015Q1,48,0.024986985944820406,0.04695629449677902,0.04318346325014511,0.04762041853383238,0.010141745287491314,0.0396995710222688,0.0013357698710582244,0.001321406206806242
2018-12-31,quarter,2015Q3,4,0.002082248828735034,0.007060993710931706,0.007162284718419894,0.008374241810616561,0.051559637316583876,0.021177485917510105,0.0026585632780920278,0.0025976603411919704
2018-12-31,quarter,2015Q4,61,0.031754294638209266,0.07536948209391973,0.0760457708862292,0.06107699318443172,0.001586704720057226,0.04574504699311228,0.0018509753853793675,0.0018207383775461889
2018-12-31,quarter,2016Q1,59,0.03071317022384175,0.06522362379354389,0.06398490114990078,0.06352811356320881,-0.003508578883228999,0.04302097721064115,0.0016102040083685106,0.0015853311823915922
2018-12-31,quarter,2016Q2,61,0.031754294638209266,0.016994387304495297,0.014869025846825923,0.02016640174528619,-0.0008159721083841154,0.02163415206991281,0.00036191625814695064,0.00033696602140187405
2018-12-31,quarter,2016Q3,64,0.03331598125976054,0.012645731813917644,0.017118709577580167,0.02110437087910595,0.0028701981135584205,0.018212800694349454,0.00039714258822879284,0.0003552177080007086
2018-12-31,quarter,2016Q4,60,0.031233732431025507,0.010272767974587545,0.01073566215297508,0.01897871988083884,0.0015648047482986114,0.017024263430093965,0.0002656641773585586,0.00022990582760941668
2018-12-31,quarter,2017Q1,59,0.03071317022384175,0.0037778615739411446,0.005972608802766239,0.01019253845072524,0.003894120761941555,0.010045234948949286,0.00015030293806504006,9.814053235460568e-05
2018-12-31,quarter,2017Q2,60,0.031233732431025507,0.008660507109570517,0.007972343273810379,0.01121783209564998,0.0031459566546339565,0.015507680585728642,0.00019728322177779584,0.0001674223829420015
2018-12-31,quarter,2017Q3,65,0.0338365434669443,0.005108138773600109,0.009664310967316417,0.011615528990545645,0.005384726684243806,0.010730651915164854,0.0002207562208977341,0.0001884788240283972
2018-12-31,quarter,2017Q4,60,0.031233732431025507,0.009966213467759959,0.012780614703865345,0.01614066437004823,0.0048208915660869255,0.016365958317585333,0.0003162684744599718,0.0002694319445380091
2018-12-31,quarter,2018Q1,59,0.03071317022384175,0.03594501641472026,0.036332718563383305,0.037182557527118146,-0.004898857583416326,0.031549690201329764,0.0009143264741259276,0.0008788215215568205
2018-12-31,quarter,2018Q2,60,0.031233732431025507,0.024373930236738974,0.020009801312720763,0.021941406764412297,-0.010978089054803564,0.0232609978895981,0.0004951615772837097,0.0004648583305651267
2018-12-31,quarter,2018Q3,64,0.03331598125976054,0.03689994088710302,0.03990519178745807,0.033805289233325035,-0.003498947738934011,0.030903108835207697,0.000925773702650646,0.0008892990919178567
2018-12-31,quarter,2018Q4,54,0.028110359187922956,0.029291982306661767,0.03156655193970174,0.0378651583649773,-0.005412140770312833,0.029593559341827665,0.0008679381893120383,0.0008276048110875278
2018-12-31,index_block,0,385,0.20041644976574702,0.22821568659265057,0.22585137296040603,0.2262785526772238,-0.00039452401773604104,0.03164897108294421,0.0008709985203101768,0.0008386325260207276
