job,history,method,cutoff,seed,train_n,iterations,objective,gradient_inf,hessian_min,reduced_objective
rolling3_learned_order_offset_2024-12-31_20260910,rolling3,learned_order_offset,2024-12-31,20260910,720,2,0.4230467081965685,4.755806208914248e-13,0.06752476197705225,0.41033514271311516
rolling3_learned_market_2024-12-31_20260911,rolling3,learned_market,2024-12-31,20260911,720,6,0.44034729808858797,5.7669729994040686e-15,0.010166174986398983,
rolling3_learned_vol_interaction_2024-12-31_20260911,rolling3,learned_vol_interaction,2024-12-31,20260911,720,6,0.4401757090269465,4.6263109987863815e-15,0.010165587869274214,
rolling3_learned_order_extension_2024-12-31_20260911,rolling3,learned_order_extension,2024-12-31,20260911,720,6,0.4398381633889287,4.085707466794375e-15,0.01016361656663945,
rolling3_learned_order_offset_2024-12-31_20260911,rolling3,learned_order_offset,2024-12-31,20260911,720,3,0.4398745127084969,9.796850830579018e-16,0.07351225647414343,0.42965968085110195
rolling3_learned_market_2024-12-31_20260912,rolling3,learned_market,2024-12-31,20260912,720,6,0.47694279458396394,3.2610546207845204e-13,0.01004034658766211,
rolling3_learned_vol_interaction_2024-12-31_20260912,rolling3,learned_vol_interaction,2024-12-31,20260912,720,6,0.47279926318221416,3.173117150978566e-13,0.01003928080207459,
rolling3_learned_order_extension_2024-12-31_20260912,rolling3,learned_order_extension,2024-12-31,20260912,720,6,0.4727964333325012,2.7352902928767797e-13,0.010039294259168476,
rolling3_learned_order_offset_2024-12-31_20260912,rolling3,learned_order_offset,2024-12-31,20260912,720,2,0.4727967638306196,3.154689508753916e-15,0.08570162235794972,0.46266270774810603
rolling3_learned_market_2025-12-31_20260910,rolling3,learned_market,2025-12-31,20260910,721,6,0.5059196627011349,5.594483210025203e-17,0.010061910963409103,
rolling3_learned_vol_interaction_2025-12-31_20260910,rolling3,learned_vol_interaction,2025-12-31,20260910,721,6,0.5044155086501063,6.049848122469115e-17,0.010062120832489115,
rolling3_learned_order_extension_2025-12-31_20260910,rolling3,learned_order_extension,2025-12-31,20260910,721,6,0.5044143890862879,2.5500435096859064e-16,0.010061654503918853,
rolling3_learned_order_offset_2025-12-31_20260910,rolling3,learned_order_offset,2025-12-31,20260910,721,2,0.5044144916786335,1.6284224673996511e-13,0.08998043218198508,0.49807244432705783
rolling3_learned_market_2025-12-31_20260911,rolling3,learned_market,2025-12-31,20260911,721,6,0.47854304080148563,1.0191500421363742e-15,0.010012580348950906,
rolling3_learned_vol_interaction_2025-12-31_20260911,rolling3,learned_vol_interaction,2025-12-31,20260911,721,6,0.47792488231962454,3.013886883118655e-14,0.010012336838092903,
rolling3_learned_order_extension_2025-12-31_20260911,rolling3,learned_order_extension,2025-12-31,20260911,721,6,0.47475972590163207,3.4576942004038713e-14,0.010012141109273598,
rolling3_learned_order_offset_2025-12-31_20260911,rolling3,learned_order_offset,2025-12-31,20260911,721,3,0.4750678765022906,0.0,0.09005351834097293,0.46783571783205796
rolling3_learned_market_2025-12-31_20260912,rolling3,learned_market,2025-12-31,20260912,721,7,0.5448843136364355,2.604687299179176e-15,0.010045022062685989,
rolling3_learned_vol_interaction_2025-12-31_20260912,rolling3,learned_vol_interaction,2025-12-31,20260912,721,7,0.54462419941354,2.4572358037211472e-15,0.01003677937958872,
rolling3_learned_order_extension_2025-12-31_20260912,rolling3,learned_order_extension,2025-12-31,20260912,721,7,0.5420522423169022,4.646456830403878e-15,0.010029250990086669,
rolling3_learned_order_offset_2025-12-31_20260912,rolling3,learned_order_offset,2025-12-31,20260912,721,3,0.5424885390222846,3.903127820947816e-18,0.08980716749899925,0.5317660175219643
