task,seed,epoch,method,scheme,gradient_inf,curvature_min
h1_bce_5y_2023-12-31,20260910,20,vol,U,9.078026427366409e-11,0.014961399378749424
h1_bce_5y_2023-12-31,20260910,20,vol,W,9.212745605453876e-11,0.01519300734979138
h1_bce_5y_2023-12-31,20260910,20,order_joint,U,7.999631621187497e-11,0.014960749313502055
h1_bce_5y_2023-12-31,20260910,20,order_joint,W,6.487006396459216e-11,0.015187285047943047
h1_bce_5y_2023-12-31,20260910,20,order_fixed,U,8.124928681241261e-13,0.24544725265515813
h1_bce_5y_2023-12-31,20260910,20,order_fixed,W,5.475109298228031e-13,0.24408016334869587
h1_bce_5y_2023-12-31,20260911,10,add,U,9.698084349474279e-13,0.018811162276301866
h1_bce_5y_2023-12-31,20260911,10,add,W,6.302929966145454e-12,0.01890875942674701
h1_bce_5y_2023-12-31,20260911,10,vol,U,1.0209415778061892e-12,0.018813191239987273
h1_bce_5y_2023-12-31,20260911,10,vol,W,1.2438183087456361e-11,0.01890019671239195
h1_bce_5y_2023-12-31,20260911,10,order_joint,U,4.0184904015472256e-12,0.01881696221782124
h1_bce_5y_2023-12-31,20260911,10,order_joint,W,1.7628833950941372e-11,0.018904012662017397
h1_bce_5y_2023-12-31,20260911,10,order_fixed,U,1.2882930399554793e-12,0.24478805511207288
h1_bce_5y_2023-12-31,20260911,10,order_fixed,W,2.7185268467767865e-12,0.2334362085198062
h1_bce_5y_2023-12-31,20260911,20,add,U,3.1260324190318656e-12,0.015822716829524828
h1_bce_5y_2023-12-31,20260911,20,add,W,1.372795735594956e-11,0.015892285651953466
h1_bce_5y_2023-12-31,20260911,20,vol,U,2.9513726532148787e-12,0.01582433139614703
h1_bce_5y_2023-12-31,20260911,20,vol,W,2.282400185732794e-11,0.015889492065575373
h1_bce_5y_2023-12-31,20260911,20,order_joint,U,4.110889309082849e-12,0.015826708933944163
h1_bce_5y_2023-12-31,20260911,20,order_joint,W,3.6430792627398234e-11,0.01589424694087818
h1_bce_5y_2023-12-31,20260911,20,order_fixed,U,2.4311173733859714e-14,0.2455644983994797
h1_bce_5y_2023-12-31,20260911,20,order_fixed,W,2.0550775707908753e-12,0.23440814192536838
h1_bce_5y_2023-12-31,20260912,10,add,U,2.0892009368160547e-12,0.016494799293533473
h1_bce_5y_2023-12-31,20260912,10,add,W,2.157130875833635e-11,0.016486329720707425
h1_bce_5y_2023-12-31,20260912,10,vol,U,4.581738406641417e-11,0.01650170699680799
h1_bce_5y_2023-12-31,20260912,10,vol,W,1.194512197488784e-11,0.016488491968067356
h1_bce_5y_2023-12-31,20260912,10,order_joint,U,6.535822989588158e-11,0.016496686800822707
h1_bce_5y_2023-12-31,20260912,10,order_joint,W,6.43420819011406e-11,0.016483208104345403
h1_bce_5y_2023-12-31,20260912,10,order_fixed,U,3.144186300207963e-18,0.24632443889748262
h1_bce_5y_2023-12-31,20260912,10,order_fixed,W,4.7704895589362195e-18,0.23396015475187001
h1_bce_5y_2023-12-31,20260912,20,add,U,1.0325615687999112e-11,0.011059662585388923
h1_bce_5y_2023-12-31,20260912,20,add,W,2.3160962974973567e-11,0.011045607626082943
h1_bce_5y_2023-12-31,20260912,20,vol,U,5.596925805846989e-10,0.011060675946078784
h1_bce_5y_2023-12-31,20260912,20,vol,W,1.5694140366624698e-10,0.011045504885564975
h1_bce_5y_2023-12-31,20260912,20,order_joint,U,5.164850042874841e-10,0.011061230470383706
h1_bce_5y_2023-12-31,20260912,20,order_joint,W,1.4004900667982656e-10,0.011044651317627935
