h,method,state,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
5,market4_5y,0,212,98,0.46226415094339623,0.4583593123719605,0.43181615747750957,0.2560408600166387,0.7053288592024757,0.4858490566037736,0.3632075471698113,0.48446108237695834,0.036968670442331784,0.36863823092035325,0.5571511825520119
5,market4_5y,1,113,63,0.5575221238938053,0.49697066326530615,0.31473214285714285,0.259136629450967,0.7119602579799716,0.5663716814159292,0.9557522123893806,0.5468223364389269,0.035898037539720255,0.48688193392094564,0.6449851167830326
5,market4_5y,2,238,114,0.4789915966386555,0.43427043434270435,0.4303678543036785,0.25303484056734954,0.6992423029032329,0.42436974789915966,0.21428571428571427,0.4673576648195045,0.040885435936521816,0.3920459464997608,0.593774264209638
5,market4_5y,3,330,192,0.5818181818181818,0.556015037593985,0.5688345864661654,0.24349001393938852,0.6800251548877789,0.5757575757575758,0.6787878787878788,0.5184516752888102,0.0476334600756022,0.39758638648636296,0.6068701581614057
5,bce_5y_e10.add.U,0,212,92,0.4339622641509434,0.4337757192482409,0.44321724414358243,0.27760900866885896,0.7518289890319656,0.4858490566037736,0.49528301886792453,0.49856948914957877,0.12698050637133473,0.2044331678420103,0.7649617228848468
5,bce_5y_e10.add.U,1,113,48,0.4247787610619469,0.3917410714285714,0.3051658163265306,0.28783291365215463,0.7730674922387428,0.5663716814159292,0.7345132743362832,0.5540138592440577,0.10026495661647916,0.32192284394647214,0.7803405697464189
5,bce_5y_e10.add.U,2,238,108,0.453781512605042,0.45790272457902725,0.45775818457758183,0.2798608641956567,0.7568494758825945,0.42436974789915966,0.5336134453781513,0.526923724154993,0.13084359372350082,0.23182281900554605,0.812348660650593
5,bce_5y_e10.add.U,3,330,194,0.5878787878787879,0.5960526315789474,0.5961654135338346,0.24787229334074348,0.689510015712236,0.5757575757575758,0.46060606060606063,0.483365285803849,0.09450069713604221,0.2576918091879617,0.7875427635508664
5,bce_5y_e10.add.W,0,212,93,0.4386792452830189,0.4372940233365993,0.41533802440545114,0.2870080421595505,0.7720923186430214,0.4858490566037736,0.4528301886792453,0.4831956918833927,0.13664212431328976,0.2007060628543038,0.7790646570427242
5,bce_5y_e10.add.W,1,113,49,0.4336283185840708,0.40194515306122447,0.3201530612244898,0.2982392535446995,0.7979794478826999,0.5663716814159292,0.7256637168141593,0.5524992410219336,0.12255542431557766,0.2661369710924029,0.8110486799873957
5,bce_5y_e10.add.W,2,238,109,0.4579831932773109,0.4485437594854376,0.4704054347040543,0.2692168693807044,0.7333904152870091,0.42436974789915966,0.44537815126050423,0.4880707564636374,0.12735978812918647,0.1862693266413807,0.7880564712871735
5,bce_5y_e10.add.W,3,330,185,0.5606060606060606,0.5714285714285714,0.6027443609022557,0.24513710822404458,0.6834864337757957,0.5757575757575758,0.4393939393939394,0.4834484170874035,0.1007190183603132,0.2348427035585342,0.7517590926338366
5,bce_5y_e10.add.I,0,212,91,0.42924528301886794,0.42892135031620204,0.44865057450788276,0.27548398600556917,0.7473329645895198,0.4858490566037736,0.49056603773584906,0.49376513666355853,0.12435941126983853,0.20370631641775094,0.7549306265801189
5,bce_5y_e10.add.I,1,113,47,0.415929203539823,0.3839285714285714,0.2927295918367347,0.2924617832819214,0.783333029583475,0.5663716814159292,0.7256637168141593,0.5494447367792149,0.10489412855640103,0.3130539960203621,0.7902225250828264
5,bce_5y_e10.add.I,2,238,105,0.4411764705882353,0.4430512394305124,0.45609597456095974,0.2789772800557183,0.7547230083889962,0.42436974789915966,0.5210084033613446,0.5216469878863994,0.1298081706045294,0.23080410759408396,0.8039109535216649
5,bce_5y_e10.add.I,3,330,189,0.5727272727272728,0.5763157894736842,0.5919172932330827,0.24784207499110614,0.6894376999040549,0.5757575757575758,0.48787878787878786,0.4871954022839803,0.09797943885409213,0.25605836819178057,0.7866591397674277
5,bce_5y_e10.add.S,0,212,90,0.42452830188679247,0.423532555446691,0.41204239779103946,0.28911618469400213,0.776711111954871,0.4858490566037736,0.4669811320754717,0.4879272534981464,0.13956814975551649,0.20144846103813144,0.7883153156911415
5,bce_5y_e10.add.S,1,113,49,0.4336283185840708,0.3995535714285714,0.3309948979591837,0.29375140349625534,0.7875393924001881,0.5663716814159292,0.7433628318584071,0.5571327136431625,0.11837337690683301,0.2670922624815573,0.8021223824624161
5,bce_5y_e10.add.S,2,238,109,0.4579831932773109,0.44984461949844623,0.47206764472067647,0.26981186577653915,0.7347149155411647,0.42436974789915966,0.453781512605042,0.4933876426066728,0.12860220449961554,0.18718158811566324,0.7971576191016446
5,bce_5y_e10.add.S,3,330,183,0.5545454545454546,0.5699248120300752,0.6106015037593985,0.24492926945620605,0.6831046063634273,0.5757575757575758,0.4090909090909091,0.47963190611712087,0.09628460696786192,0.23574165379666787,0.752755887559414
5,bce_5y_e10.vol.U,0,212,89,0.419811320754717,0.41814376057718006,0.4262937561236305,0.2740255912522541,0.7436260179478525,0.4858490566037736,0.44339622641509435,0.49114663387597157,0.10873857175628893,0.22919592262477403,0.7282965018645396
5,bce_5y_e10.vol.U,1,113,46,0.40707964601769914,0.3761160714285714,0.32461734693877553,0.2897851019923282,0.7769757856824359,0.5663716814159292,0.7168141592920354,0.5490045009827936,0.11075435677801956,0.29476333330297927,0.7654751478678338
5,bce_5y_e10.vol.U,2,238,115,0.4831932773109244,0.4782467297824673,0.47951145479511453,0.26983806156131035,0.7353716623145676,0.42436974789915966,0.47058823529411764,0.5126839842990498,0.12042819080887746,0.24881875619432134,0.8054700242240673
5,bce_5y_e10.vol.U,3,330,189,0.5727272727272728,0.5847744360902256,0.5809398496240602,0.25459939868564324,0.704491282217258,0.5757575757575758,0.43333333333333335,0.4738017598533153,0.10875063150271269,0.22192385497439096,0.7775146968966977
5,bce_5y_e10.vol.W,0,212,90,0.42452830188679247,0.42219649060301057,0.40554021555179476,0.284216221917515,0.7657574781798472,0.4858490566037736,0.419811320754717,0.4772287314601911,0.12457490369094722,0.21696325603570346,0.7568932866668815
5,bce_5y_e10.vol.W,1,113,49,0.4336283185840708,0.40433673469387754,0.3364158163265306,0.2993912268139917,0.8001914005302855,0.5663716814159292,0.7079646017699115,0.5504332796770671,0.13108441613594046,0.2555056309596503,0.7840915082613602
5,bce_5y_e10.vol.W,2,238,119,0.5,0.4850401098504011,0.4830526848305268,0.26381863574472736,0.7220686594266416,0.42436974789915966,0.40336134453781514,0.4801355484788597,0.1215209819533387,0.19720615771936653,0.790208523672872
5,bce_5y_e10.vol.W,3,330,187,0.5666666666666667,0.5776315789473685,0.580187969924812,0.2512376355784308,0.6964937014637468,0.5757575757575758,0.4393939393939394,0.4769562047283545,0.11212272218968038,0.22745915666392627,0.7442040255607164
5,bce_5y_e10.vol.I,0,212,91,0.42924528301886794,0.4273180725037855,0.4323505834149817,0.2719845856942805,0.7393630882186346,0.4858490566037736,0.4339622641509434,0.4862027652285103,0.10576947897997682,0.2284943362346643,0.7171080172821277
5,bce_5y_e10.vol.I,1,113,45,0.39823008849557523,0.3683035714285714,0.30771683673469385,0.2943242455962776,0.7871905707797131,0.5663716814159292,0.7079646017699115,0.5445041692166639,0.11474261407853771,0.28390862645566234,0.7755210576864142
5,bce_5y_e10.vol.I,2,238,116,0.48739495798319327,0.4792946447929465,0.47792151477921513,0.26910601002598555,0.733660775148313,0.42436974789915966,0.4495798319327731,0.5071849881235776,0.11932051319768229,0.24784941607037872,0.796635202044198
5,bce_5y_e10.vol.I,3,330,181,0.5484848484848485,0.5571428571428572,0.5766541353383459,0.2546759627300413,0.7047157998250885,0.5757575757575758,0.45151515151515154,0.47746688417578437,0.1124092305996078,0.22035111413415323,0.7766750867950708
5,bce_5y_e10.vol.S,0,212,89,0.419811320754717,0.41787654760844395,0.4022445889373831,0.2862710095218006,0.7702070549121036,0.4858490566037736,0.4339622641509434,0.48205882439652264,0.12775062238426077,0.21768091990897234,0.7668549201139218
5,bce_5y_e10.vol.S,1,113,49,0.4336283185840708,0.40194515306122447,0.3469387755102041,0.29498407521136394,0.7898350449813099,0.5663716814159292,0.7256637168141593,0.5550218710704061,0.12734025996444281,0.25630428003899997,0.7746255512340703
5,bce_5y_e10.vol.S,2,238,118,0.4957983193277311,0.48139047481390473,0.484931704849317,0.26429911912030984,0.7231399564046701,0.42436974789915966,0.40756302521008403,0.4855667782951883,0.12278805474590931,0.19808231898619913,0.7993284081733831
5,bce_5y_e10.vol.S,3,330,184,0.5575757575757576,0.5716165413533835,0.5860902255639098,0.25087235523205753,0.6957441834547674,0.5757575757575758,0.41818181818181815,0.47331921563587476,0.10750403375757842,0.22817638746049917,0.7451096651606889
5,bce_5y_e10.order_joint.U,0,212,87,0.41037735849056606,0.4081678097443663,0.42121670971764497,0.27939098014989766,0.756317239246437,0.4858490566037736,0.42452830188679247,0.4802541351171516,0.12060922895480233,0.18468692982236534,0.7349848744248785
5,bce_5y_e10.order_joint.U,1,113,51,0.45132743362831856,0.4223533163265306,0.3469387755102041,0.2875713917674429,0.7732896166483287,0.5663716814159292,0.7079646017699115,0.5389864124039301,0.11250694632159204,0.27973545438638614,0.7873521379749459
5,bce_5y_e10.order_joint.U,2,238,122,0.5126050420168067,0.5037941750379418,0.4857266748572667,0.2692143043765891,0.735551648112191,0.42436974789915966,0.4411764705882353,0.5082461381006336,0.1219216773827053,0.21109333300136676,0.8317866784750284
5,bce_5y_e10.order_joint.U,3,330,191,0.5787878787878787,0.5919172932330827,0.5913157894736842,0.252992495607677,0.7011726759940322,0.5757575757575758,0.42727272727272725,0.4723348885244022,0.10472599255142521,0.21035777765677025,0.7507225762362176
5,bce_5y_e10.order_joint.W,0,212,89,0.419811320754717,0.41707490870223574,0.40643092544758175,0.2881608042177427,0.7756912435304916,0.4858490566037736,0.4056603773584906,0.4690334044294477,0.13405894723726844,0.1818013740432042,0.7583360894962902
5,bce_5y_e10.order_joint.W,1,113,52,0.46017699115044247,0.43734056122448983,0.36607142857142855,0.2960591950923457,0.7941003294541815,0.5663716814159292,0.6637168141592921,0.5436368181642852,0.13425863793098222,0.2637846982628305,0.8057616763897949
5,bce_5y_e10.order_joint.W,2,238,119,0.5,0.4837392498373925,0.48832839488328394,0.2627992326343229,0.7199789666067155,0.42436974789915966,0.3949579831932773,0.4774141419827078,0.11971600555367093,0.17194497651687538,0.7906435919275164
5,bce_5y_e10.order_joint.W,3,330,188,0.5696969696969697,0.5821428571428571,0.5799248120300752,0.2521154780965299,0.6983624788873726,0.5757575757575758,0.4303030303030303,0.4743755024942105,0.11307851224915008,0.21599889779964665,0.7300806554431526
5,bce_5y_e10.order_joint.I,0,212,88,0.41509433962264153,0.412754965707669,0.42620468513405185,0.2774383728046127,0.7522486443833971,0.4858490566037736,0.419811320754717,0.4751800584117619,0.11760595023263148,0.18387589850127598,0.724082076028696
5,bce_5y_e10.order_joint.I,1,113,50,0.4424778761061947,0.4145408163265306,0.33322704081632654,0.2922514538359389,0.783870091510485,0.5663716814159292,0.6991150442477876,0.5344791519586278,0.116660938659115,0.2695376072119104,0.7968406485190882
5,bce_5y_e10.order_joint.I,2,238,121,0.5084033613445378,0.4962419599624196,0.482546794825468,0.2685391905962007,0.7337589940407838,0.42436974789915966,0.42016806722689076,0.5026294415480316,0.12077671724872367,0.21001518141518272,0.8240030627186625
5,bce_5y_e10.order_joint.I,3,330,190,0.5757575757575758,0.5845864661654135,0.5862781954887218,0.2531117245723593,0.7014890861862871,0.5757575757575758,0.45454545454545453,0.47596658820537563,0.10871203345283598,0.20816364025482506,0.7485761016104391
5,bce_5y_e10.order_joint.S,0,212,89,0.419811320754717,0.41760933463970784,0.4023336599269618,0.2901224309407652,0.7799353186150886,0.4858490566037736,0.42452830188679247,0.47399437372054165,0.13721792640940195,0.18264578591280992,0.7682264689658002
5,bce_5y_e10.order_joint.S,1,113,51,0.45132743362831856,0.42713647959183676,0.3781887755102041,0.2915641618025025,0.7835055616854582,0.5663716814159292,0.672566371681416,0.5482134173481944,0.1305163689421465,0.2649520354072117,0.7968631243478675
5,bce_5y_e10.order_joint.S,2,238,118,0.4957983193277311,0.4800896148008961,0.48948471489484713,0.2632778906719854,0.7210688540263432,0.42436974789915966,0.39915966386554624,0.48299574926643835,0.12105854949959156,0.17292633027107404,0.7996201725667298
5,bce_5y_e10.order_joint.S,3,330,188,0.5696969696969697,0.5868421052631578,0.5846240601503759,0.2516508929565281,0.6973941856860754,0.5757575757575758,0.4,0.4707781656427104,0.10809410663596675,0.21825292037544866,0.7185102558576567
5,bce_5y_e10.order_fixed.U,0,212,87,0.41037735849056606,0.4081678097443663,0.42130578070722363,0.2790033471024616,0.7554507551211117,0.4858490566037736,0.42452830188679247,0.48076937194657027,0.11977693008239534,0.1857998050483476,0.7343607427140165
5,bce_5y_e10.order_fixed.U,1,113,51,0.45132743362831856,0.4223533163265306,0.3469387755102041,0.2871936109473866,0.7724174658230188,0.5663716814159292,0.7079646017699115,0.5387475889847054,0.11200942234162878,0.2807154084975259,0.7856706614189206
5,bce_5y_e10.order_fixed.U,2,238,122,0.5126050420168067,0.5037941750379418,0.48514851485148514,0.2691961630637681,0.7354882258211928,0.42436974789915966,0.4411764705882353,0.5084049321284777,0.12141899421789915,0.21262324525615492,0.831126386433609
