head_cutoff,encoder_cutoff,seed,group,parameter,dimensions,old_norm,new_norm,delta_norm,maximum_absolute_change,maximum_abs_log_ratio
2021-09-30,2020-12-31,20260912,rep,upper,25,2.837164635855945,2.854462852591925,0.058262809733852075,0.03007985830307014,
2021-09-30,2020-12-31,20260912,rep,mean,25,2.78341537756562,2.7853364489776373,0.033508953030690555,0.015982968697545563,
2021-09-30,2020-12-31,20260912,rep,sd,25,0.630153125094924,0.6128122228991411,0.020310741707030473,0.0069780086562299115,0.061227168060184294
2021-09-30,2020-12-31,20260912,market,lower,4,1.7581780932364166,1.7004324482178996,0.06766959428768277,0.05969840927334924,
2021-09-30,2020-12-31,20260912,market,upper,4,2.8590215426351118,2.860835668656163,0.007973741797878738,0.0057047768746665214,
2021-09-30,2020-12-31,20260912,market,mean,4,0.31883295672664425,0.35318823856656323,0.03873979925616174,0.03395103059769594,
2021-09-30,2020-12-31,20260912,market,sd,4,1.0005765385727114,1.0035249586463666,0.021626108231020544,0.01847936731882277,0.14730554127656043
2021-09-30,2020-12-31,20260912,vol,ray,25,0.5640461822485379,0.6228300082524542,0.48335278407997423,0.2234535306485624,
2021-09-30,2020-12-31,20260912,vol,projection,30,1.3396915136521625,1.3516821080687595,0.6700387454971167,0.2718373610157516,
2021-09-30,2020-12-31,20260912,vol,residual_mean,1,2.286399892297352e-16,5.285028613091654e-17,1.7578970309881867e-16,1.7578970309881867e-16,
2021-09-30,2020-12-31,20260912,vol,residual_sd,1,0.6084710998661973,0.5871361942933968,0.02133490557280049,0.02133490557280049,0.03569260679071918
2021-09-30,2020-12-31,20260912,order,ray,25,0.5640461822485379,0.6228300082524542,0.48335278407997423,0.2234535306485624,
2021-09-30,2020-12-31,20260912,order,projection,31,0.09317797457923405,0.08859701811377484,0.09171918024515996,0.042878088876153596,
2021-09-30,2020-12-31,20260912,order,residual_mean,1,0.0,1.1744508029092565e-17,1.1744508029092565e-17,1.1744508029092565e-17,
2021-09-30,2020-12-31,20260912,order,residual_sd,1,0.0512530499144099,0.05290767683199954,0.0016546269175896425,0.0016546269175896425,0.03177332126003513
2021-12-31,2021-12-31,20260910,rep,lower,25,5.104994350482741,5.104994350482741,0.0,0.0,
2021-12-31,2021-12-31,20260910,rep,upper,25,6.110164896303831,6.110164896303831,0.0,0.0,
