cutoff,year,method,seed,source,target,source_n,target_n,status,overall_delta,composition,within_state
2021-06-30,2021,learned_order_offset,-1,daily,friday,118,24,defined,-0.03715842847686121,0.011269603791696715,-0.04842803226855795
2021-06-30,2021,learned_order_offset,-1,friday,future,24,13,defined,0.029839049759184607,-0.034924646948525866,0.0647636967077105
2021-06-30,2021,learned_order_offset,-1,daily,future,118,13,defined,-0.007319378717676607,0.008289428614984964,-0.015608807332661581
2021-09-30,2021,learned_market,20260910,daily,friday,182,37,defined,-0.015628641371038608,-0.001915282630703264,-0.013713358740335347
2021-09-30,2021,learned_market,20260910,friday,future,37,13,defined,-0.15851551103677658,-0.04493636716233503,-0.11357914387444154
2021-09-30,2021,learned_market,20260910,daily,future,182,13,defined,-0.17414415240781517,0.1728870033861452,-0.3470311557939604
2021-09-30,2021,learned_market,20260911,daily,friday,182,37,defined,-0.016901133115880325,-0.002053653763042234,-0.014847479352838096
2021-09-30,2021,learned_market,20260911,friday,future,37,13,defined,-0.25085872848668395,-0.04505265525282413,-0.20580607323385983
2021-09-30,2021,learned_market,20260911,daily,future,182,13,defined,-0.26775986160256426,0.16540754878905983,-0.4331674103916241
2021-09-30,2021,learned_market,20260912,daily,friday,182,37,defined,-0.020904753309398297,-0.003137566119972858,-0.01776718718942545
2021-09-30,2021,learned_market,20260912,friday,future,37,13,defined,-0.035180654115468446,0.015840088510967257,-0.05102074262643569
2021-09-30,2021,learned_market,20260912,daily,future,182,13,defined,-0.05608540742486674,0.2270898722556115,-0.28317527968047823
2021-09-30,2021,learned_market,-1,daily,friday,182,37,defined,-0.01781150926543907,-0.0023688341712394534,-0.015442675094199613
2021-09-30,2021,learned_market,-1,friday,future,37,13,defined,-0.14818496454630964,-0.024716311301397294,-0.12346865324491234
2021-09-30,2021,learned_market,-1,daily,future,182,13,defined,-0.1659964738117487,0.18846147481027223,-0.3544579486220209
2021-09-30,2021,learned_vol_interaction,20260910,daily,friday,182,37,defined,-0.016669478154227743,-0.002269498276698519,-0.014399979877529235
2021-09-30,2021,learned_vol_interaction,20260910,friday,future,37,13,defined,-0.20034032941788546,-0.03697993328278921,-0.16336039613509626
2021-09-30,2021,learned_vol_interaction,20260910,daily,future,182,13,defined,-0.2170098075721132,0.18263918614040636,-0.3996489937125196
2021-09-30,2021,learned_vol_interaction,20260911,daily,friday,182,37,defined,-0.015567089633215112,-0.0021413547359369726,-0.013425734897278146
2021-09-30,2021,learned_vol_interaction,20260911,friday,future,37,13,defined,-0.2392924549837938,-0.04359531210160289,-0.19569714288219092
2021-09-30,2021,learned_vol_interaction,20260911,daily,future,182,13,defined,-0.25485954461700894,0.16544120505408771,-0.42030074967109665
2021-09-30,2021,learned_vol_interaction,20260912,daily,friday,182,37,defined,-0.021129893655201973,-0.003144473848640538,-0.017985419806561438
2021-09-30,2021,learned_vol_interaction,20260912,friday,future,37,13,defined,-0.0331181845850632,0.016540559765270538,-0.04965874435033374
2021-09-30,2021,learned_vol_interaction,20260912,daily,future,182,13,defined,-0.054248078240265174,0.22782033507545713,-0.28206841331572224
2021-09-30,2021,learned_vol_interaction,-1,daily,friday,182,37,defined,-0.017788820480881602,-0.002518442287092011,-0.015270378193789607
2021-09-30,2021,learned_vol_interaction,-1,friday,future,37,13,defined,-0.15758365632891413,-0.021344895206373858,-0.13623876112254027
2021-09-30,2021,learned_vol_interaction,-1,daily,future,182,13,defined,-0.17537247680979573,0.19196690875665037,-0.3673393855664461
2021-09-30,2021,learned_order_extension,20260910,daily,friday,182,37,defined,-0.01633484348711943,-0.0023623459724463163,-0.013972497514673126
2021-09-30,2021,learned_order_extension,20260910,friday,future,37,13,defined,-0.22735830863701278,-0.03952803491287779,-0.18783027372413502
2021-09-30,2021,learned_order_extension,20260910,daily,future,182,13,defined,-0.24369315212413223,0.18374644524513015,-0.4274395973692624
2021-09-30,2021,learned_order_extension,20260911,daily,friday,182,37,defined,-0.014685968990396984,-0.0023268734595271656,-0.01235909553086982
2021-09-30,2021,learned_order_extension,20260911,friday,future,37,13,defined,-0.29564465713730287,-0.0487030858724427,-0.2469415712648602
2021-09-30,2021,learned_order_extension,20260911,daily,future,182,13,defined,-0.31033062612769985,0.16693879589464372,-0.47726942202234357
2021-09-30,2021,learned_order_extension,20260912,daily,friday,182,37,defined,-0.020915472807335515,-0.0031774013343520017,-0.01773807147298352
2021-09-30,2021,learned_order_extension,20260912,friday,future,37,13,defined,-0.03076397976174282,0.01779351680625435,-0.04855749656799716
2021-09-30,2021,learned_order_extension,20260912,daily,future,182,13,defined,-0.051679452569078334,0.22940960662590984,-0.28108905919498817
2021-09-30,2021,learned_order_extension,-1,daily,friday,182,37,defined,-0.017312095094950644,-0.002622206922108495,-0.01468988817284216
2021-09-30,2021,learned_order_extension,-1,friday,future,37,13,defined,-0.18458898184535283,-0.023479201326355385,-0.1611097805189975
2021-09-30,2021,learned_order_extension,-1,daily,future,182,13,defined,-0.2019010769403035,0.1933649492552279,-0.39526602619553136
2021-09-30,2021,learned_order_offset,20260910,daily,friday,182,37,defined,-0.0162877823448076,-0.0023600505553062097,-0.01392773178950139
2021-09-30,2021,learned_order_offset,20260910,friday,future,37,13,defined,-0.2270251489687603,-0.03959377339922313,-0.18743137556953712
2021-09-30,2021,learned_order_offset,20260910,daily,future,182,13,defined,-0.2433129313135679,0.1837445289435173,-0.42705746025708513
2021-09-30,2021,learned_order_offset,20260911,daily,friday,182,37,defined,-0.014785050950652467,-0.0022988339401112164,-0.012486217010541256
2021-09-30,2021,learned_order_offset,20260911,friday,future,37,13,defined,-0.295812076477411,-0.04920964236707689,-0.2466024341103341
2021-09-30,2021,learned_order_offset,20260911,daily,future,182,13,defined,-0.31059712742806345,0.16619084221216804,-0.4767879696402315
2021-09-30,2021,learned_order_offset,20260912,daily,friday,182,37,defined,-0.020889030233705273,-0.003177852369821906,-0.01771117786388336
2021-09-30,2021,learned_order_offset,20260912,friday,future,37,13,defined,-0.030825967317638883,0.017807434854206106,-0.04863340217184499
2021-09-30,2021,learned_order_offset,20260912,daily,future,182,13,defined,-0.051714997551344156,0.2294348262604436,-0.28114982381178777
2021-09-30,2021,learned_order_offset,-1,daily,friday,182,37,defined,-0.017320621176388454,-0.002612245621746445,-0.014708375554642017
2021-09-30,2021,learned_order_offset,-1,friday,future,37,13,defined,-0.18455439758793674,-0.023665326970697953,-0.16088907061723878
2021-09-30,2021,learned_order_offset,-1,daily,future,182,13,defined,-0.20187501876432518,0.19312339913870968,-0.39499841790303486
2021-12-31,2022,learned_market,20260910,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_market,20260910,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_market,20260910,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_market,20260911,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_market,20260911,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_market,20260911,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_market,20260912,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_market,20260912,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_market,20260912,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_market,-1,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_market,-1,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_market,-1,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_vol_interaction,20260910,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_vol_interaction,20260910,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_vol_interaction,20260910,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_vol_interaction,20260911,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_vol_interaction,20260911,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_vol_interaction,20260911,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_vol_interaction,20260912,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_vol_interaction,20260912,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_vol_interaction,20260912,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_vol_interaction,-1,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_vol_interaction,-1,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_vol_interaction,-1,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_extension,20260910,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_order_extension,20260910,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_extension,20260910,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_extension,20260911,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_order_extension,20260911,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_extension,20260911,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_extension,20260912,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_order_extension,20260912,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_extension,20260912,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_extension,-1,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_order_extension,-1,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_extension,-1,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_offset,20260910,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_order_offset,20260910,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_offset,20260910,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_offset,20260911,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_order_offset,20260911,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_offset,20260911,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_offset,20260912,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_order_offset,20260912,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_offset,20260912,daily,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_offset,-1,daily,friday,0,0,empty_source,,,
2021-12-31,2022,learned_order_offset,-1,friday,future,0,11,empty_source,,,
2021-12-31,2022,learned_order_offset,-1,daily,future,0,11,empty_source,,,
2022-03-31,2022,learned_market,20260910,daily,friday,58,12,defined,0.08101290696021862,-0.007024353262321568,0.08803726022254023
2022-03-31,2022,learned_market,20260910,friday,future,12,12,target_state_absent_in_source,0.3106456023284629,,
2022-03-31,2022,learned_market,20260910,daily,future,58,12,target_state_absent_in_source,0.3916585092886815,,
2022-03-31,2022,learned_market,20260911,daily,friday,58,12,defined,0.09520256819162903,-0.0029593847165653372,0.09816195290819436
2022-03-31,2022,learned_market,20260911,friday,future,12,12,target_state_absent_in_source,0.3181259728388208,,
2022-03-31,2022,learned_market,20260911,daily,future,58,12,target_state_absent_in_source,0.41332854103044986,,
2022-03-31,2022,learned_market,20260912,daily,friday,58,12,defined,0.10301337288559737,0.0010710334387904231,0.10194233944680689
2022-03-31,2022,learned_market,20260912,friday,future,12,12,target_state_absent_in_source,0.4228117134853072,,
2022-03-31,2022,learned_market,20260912,daily,future,58,12,target_state_absent_in_source,0.5258250863709046,,
2022-03-31,2022,learned_market,-1,daily,friday,58,12,defined,0.09307628267914836,-0.002970901513365494,0.0960471841925139
2022-03-31,2022,learned_market,-1,friday,future,12,12,target_state_absent_in_source,0.350527762884197,,
2022-03-31,2022,learned_market,-1,daily,future,58,12,target_state_absent_in_source,0.4436040455633454,,
2022-03-31,2022,learned_vol_interaction,20260910,daily,friday,58,12,defined,0.07860250515964257,-0.007810926897813382,0.086413432057456
2022-03-31,2022,learned_vol_interaction,20260910,friday,future,12,12,target_state_absent_in_source,0.320450831994677,,
2022-03-31,2022,learned_vol_interaction,20260910,daily,future,58,12,target_state_absent_in_source,0.39905333715431957,,
2022-03-31,2022,learned_vol_interaction,20260911,daily,friday,58,12,defined,0.09627103597517078,-0.002863979771627164,0.099135015746798
2022-03-31,2022,learned_vol_interaction,20260911,friday,future,12,12,target_state_absent_in_source,0.31941373094791364,,
2022-03-31,2022,learned_vol_interaction,20260911,daily,future,58,12,target_state_absent_in_source,0.4156847669230844,,
2022-03-31,2022,learned_vol_interaction,20260912,daily,friday,58,12,defined,0.10301797914689581,0.0011624313738912949,0.10185554777300451
