job,method,cutoff,seed,feature,feature_name,coefficient,validation_standardized_mean,validation_standardized_sd,mean_logit_contribution,outside_training_range_fraction
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,23,decoded_23,-0.08111423300935065,-0.3645861470602196,0.8735590628175275,0.029573125684624044,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,24,decoded_24,-0.095264390269123,0.6816317348300645,0.5494129217408795,-0.06493523160667064,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,0,decoded_0,-0.1288498047644535,0.2129508573074123,1.0741777253392746,-0.027438676388483074,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,1,decoded_1,0.06172321248824305,-0.21835844673756,0.9692130470888102,-0.013477784806585123,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,2,decoded_2,0.045996679414278,0.3709924662465713,0.8492718656172334,0.01706442153505589,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,3,decoded_3,0.06363498583403257,-0.06223312550776633,0.84688989705982,-0.003960204060094281,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,4,decoded_4,0.059385401594495915,-0.033136691506351276,1.0242535754245061,-0.0019678357326175936,0.021739130434782608
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,5,decoded_5,-0.09317420442237154,0.10817720803763692,1.0256599487509312,-0.0100793252955402,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,6,decoded_6,0.13945927788592768,-0.2266261399269725,0.9527193134638607,-0.0316051178242908,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,7,decoded_7,-0.050453551674604594,0.35499246752909225,0.8001881762425627,-0.01791063080457445,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,8,decoded_8,0.08682196761881392,-0.08473901982199754,0.6698044671772099,-0.0073572084350354994,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,9,decoded_9,0.07064142873058525,-0.04641578750426293,1.0296950365989979,-0.0032788775449563816,0.0
