job,method,cutoff,seed,split,n,offset_gamma,joint_gamma,gamma_difference,frozen_original_interaction_coefficient,parent_coefficient_l2_drift,parent_intercept_drift,order_logit_sd,parent_constraint_rms,order_coefficient_change_rms,total_logit_difference_rms,rms_probability_change_vs_parent,rms_probability_change_vs_joint
learned_order_offset_2019-12-31_20260911,learned_order_offset,2019-12-31,20260911,training,2165,0.08025972401347384,0.08057468656688319,-0.0003149625534093481,-0.04212577872850956,0.0,0.0,0.08025972401347384,0.0042133062727731305,0.0003149625534093481,0.004225062266788451,0.016238337647676467,0.0008334916844048622
learned_order_offset_2019-12-31_20260911,learned_order_offset,2019-12-31,20260911,validation,46,0.08025972401347384,0.08057468656688319,-0.0003149625534093481,-0.04212577872850956,0.0,0.0,0.077102511314945,0.0032844419763804803,0.00030348522694744227,0.003235331095042849,0.016008027111885773,0.0006955330360322937
learned_order_offset_2019-12-31_20260912,learned_order_offset,2019-12-31,20260912,training,2165,0.04301621271123787,0.04314265221070841,-0.00012643949947054034,0.01857824397273338,0.0,0.0,0.04301621271123787,0.002163947615440113,0.00012643949947054034,0.002167638399132873,0.009185644710024426,0.0004622759202089108
learned_order_offset_2019-12-31_20260912,learned_order_offset,2019-12-31,20260912,validation,46,0.04301621271123787,0.04314265221070841,-0.00012643949947054034,0.01857824397273338,0.0,0.0,0.049313123957907296,0.0027209971585889204,0.000160221751783071,0.00276629584494077,0.011194156700170384,0.0005563458490980656
raw_order_offset_2014-12-31_-1,raw_order_offset,2014-12-31,-1,training,1077,0.05501788787909789,0.05540985767096271,-0.00039196979186481573,0.032712780092514764,0.0,0.0,0.0550178878790979,0.004712933232563543,0.00039196979186481573,0.004729205004261962,0.012091042955403156,0.0008719170100692872
raw_order_offset_2014-12-31_-1,raw_order_offset,2014-12-31,-1,validation,22,0.05501788787909789,0.05540985767096271,-0.00039196979186481573,0.032712780092514764,0.0,0.0,0.08675004756980205,0.008907374601957885,0.0006552856501124692,0.00876366623683422,0.018477134479949652,0.0018402690928746156
raw_order_offset_2015-12-31_-1,raw_order_offset,2015-12-31,-1,training,1190,0.04108597272386382,0.04118211003719901,-9.613731333518727e-05,0.0713187329704232,0.0,0.0,0.04108597272386382,0.0018515496102001203,9.613731333518726e-05,0.0018540437810492829,0.009315819425746724,0.0003990265878743398
raw_order_offset_2015-12-31_-1,raw_order_offset,2015-12-31,-1,validation,48,0.04108597272386382,0.04118211003719901,-9.613731333518727e-05,0.0713187329704232,0.0,0.0,0.11716659316353886,0.0030107938267779737,0.0003409141094121306,0.002770788746841463,0.028505960687470626,0.0005742846032413995
raw_order_offset_2016-12-31_-1,raw_order_offset,2016-12-31,-1,training,1434,0.049587806668299685,0.049621810808557494,-3.400414025780951e-05,0.042093150798506604,0.0,0.0,0.04958780666829968,0.00108230119638988,3.4004140257809505e-05,0.0010828352419743445,0.011483051837601335,0.00024730800364902977
raw_order_offset_2016-12-31_-1,raw_order_offset,2016-12-31,-1,validation,50,0.049587806668299685,0.049621810808557494,-3.400414025780951e-05,0.042093150798506604,0.0,0.0,0.04218022073124008,0.0008959628058263611,2.8947842114835285e-05,0.0009010166701189965,0.010187957483757424,0.00022054714489825052
raw_order_offset_2017-12-31_-1,raw_order_offset,2017-12-31,-1,training,1678,0.0949653762897994,0.09510106445834195,-0.00013568816854254984,0.06122591391772731,0.0,0.0,0.0949653762897994,0.0029745387731986506,0.00013568816854254986,0.002977631977317642,0.02240157450900615,0.0006300819410573554
raw_order_offset_2017-12-31_-1,raw_order_offset,2017-12-31,-1,validation,49,0.0949653762897994,0.09510106445834195,-0.00013568816854254984,0.06122591391772731,0.0,0.0,0.06528712025953086,0.0032007963571825276,9.510950255138707e-05,0.003173102556316441,0.016039629411943482,0.0007292677674448026
raw_order_offset_2018-12-31_-1,raw_order_offset,2018-12-31,-1,training,1921,0.0773202907001991,0.07739631151968797,-7.602081948886175e-05,0.007918740413037069,0.0,0.0,0.0773202907001991,0.001925719745454186,7.602081948886175e-05,0.001927219682088136,0.01820070627358317,0.0004306310333615872
raw_order_offset_2018-12-31_-1,raw_order_offset,2018-12-31,-1,validation,46,0.0773202907001991,0.07739631151968797,-7.602081948886175e-05,0.007918740413037069,0.0,0.0,0.08532473846118678,0.0019003690061813049,8.438666994109914e-05,0.0018542922794125786,0.01983797823682497,0.00043706975839510946
raw_order_offset_2019-12-31_-1,raw_order_offset,2019-12-31,-1,training,2165,0.02515003774053726,0.025155369109159352,-5.331368622091964e-06,-0.03394007555714344,0.0,0.0,0.02515003774053726,0.0003160992565096365,5.3313686220919634e-06,0.0003161442130694936,0.006004911332817747,7.494364217284626e-05
raw_order_offset_2019-12-31_-1,raw_order_offset,2019-12-31,-1,validation,46,0.02515003774053726,0.025155369109159352,-5.331368622091964e-06,-0.03394007555714344,0.0,0.0,0.02895373849895002,0.0003791675525375598,6.283305244315634e-06,0.000379536351693823,0.00704461665908057,8.06601673967282e-05
