period,state,arm,history,method,seed,supported,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_order_extension,20260910,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.29708030074716446,0.788243364180007,0.5283183813685455,0.051762629744747934,0.32831838136854546,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_order_extension,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.3457685741960287,0.9053778866418185,0.5009780146015472,0.16490489773303615,0.3009780146015472,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_order_extension,20260912,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.2944508442078685,0.782961975507649,0.4980003499221789,0.057516751230638506,0.2980003499221789,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_order_offset,20260910,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.29683392721432994,0.7877933636915256,0.5271995738465789,0.05323625326571378,0.3271995738465789,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_order_offset,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.345045072461712,0.9038916405544877,0.5005945591137967,0.16471402100929414,0.3005945591137967,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_order_offset,20260912,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.29572791050572433,0.7854890168297517,0.5000604864848464,0.057213417076730604,0.30006048648484634,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_market,20260910,False,5,0.0,1.0,0,0.0,0.8,0.2,0,0,4,1,0.0,0.29248840550376554,0.7802420070478755,0.5367103488130683,0.05526750541097254,0.3367103488130683,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_market,20260911,False,5,0.6,0.4,3,0.375,0.2,0.2,0,3,1,1,0.25,0.2982339782586181,0.7955927411127313,0.4660731739533139,0.1525841269450935,0.26607317395331387,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_market,20260912,False,5,0.6,0.4,3,0.375,0.2,0.2,0,3,1,1,0.0,0.2807648242811161,0.7584147942517181,0.45133485287811065,0.08313644515231902,0.25133485287811064,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_vol_interaction,20260910,False,5,0.0,1.0,0,0.0,0.8,0.2,0,0,4,1,0.0,0.2924521240960844,0.7801680571596513,0.5367924179507535,0.05519941387310892,0.3367924179507535,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_vol_interaction,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.3044812022665584,0.8090667991136475,0.4780148623746207,0.14929118041879202,0.2780148623746207,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_vol_interaction,20260912,False,5,0.6,0.4,3,0.375,0.2,0.2,0,3,1,1,0.0,0.28551978207656775,0.7690463802624761,0.4501029353628329,0.08708613031490091,0.2501029353628329,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_order_extension,20260910,False,5,0.2,0.8,1,0.5,1.0,0.2,1,0,4,0,0.0,0.2869349076256669,0.7680140226449368,0.5341869708126565,0.0417174454978758,0.3341869708126565,0.0
