period,history,method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
year_2022,state90,learned_vol_interaction,49,0.42857142857142855,0.5714285714285714,21,0.4706896551724138,0.7346938775510204,0.40816326530612246,14,7,22,6,0.35344827586206895,0.3060813859219992,0.8112470859347125,0.5814293980928159,0.09627109205038982,0.17326613278669345,0.0
year_2022,state90,native_mse,49,0.40816326530612246,0.5918367346938775,20,0.45344827586206893,0.7551020408163265,0.40816326530612246,14,6,23,6,0.3620689655172414,,,,,,
year_2022,state90,training_frequency,49,0.40816326530612246,0.5918367346938775,20,0.5,1.0,0.40816326530612246,20,0,29,0,0.5,0.2605181144451977,0.7142485422142615,0.545829892650702,1.1102230246251565e-16,0.13766662734457957,0.0
year_2023,annual_net_quarter_head,learned_market,48,0.4375,0.5625,21,0.43466424682395643,0.5,0.3958333333333333,8,13,16,11,0.37749546279491836,0.27454006427637184,0.7436828357799624,0.5020508419250974,0.08797194251123346,0.1062175085917641,0.0
year_2023,annual_net_quarter_head,learned_order_extension,48,0.4583333333333333,0.5416666666666666,22,0.4791288566243194,0.6041666666666666,0.3958333333333333,11,11,18,8,0.40653357531760437,0.26940815059270995,0.7327414209219119,0.5130830331408939,0.0724119353002548,0.11724969980756056,0.0
year_2023,annual_net_quarter_head,learned_order_offset,48,0.4375,0.5625,21,0.4618874773139746,0.625,0.3958333333333333,11,10,19,8,0.41197822141560797,0.2695754538275598,0.733062057269651,0.5138889591852007,0.07146933304925147,0.11805562585186741,0.0
year_2023,annual_net_quarter_head,learned_vol_interaction,48,0.4583333333333333,0.5416666666666666,22,0.47005444646098005,0.5625,0.3958333333333333,10,12,17,9,0.38656987295825773,0.27375882033670756,0.7420933616339368,0.5051676864240809,0.08655502828974378,0.10933435309074763,0.0
year_2023,annual_net_quarter_head,native_mse,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
year_2023,annual_net_quarter_head,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.38021778584392013,0.25240049188040886,0.6979489182052795,0.5076554018153036,0.0037550546296298976,0.11182206848197024,0.0
year_2023,annual_quarter_half,learned_market,48,0.5208333333333334,0.4791666666666667,25,0.5036297640653358,0.4166666666666667,0.3958333333333333,8,17,12,11,0.4664246823956443,0.2600306072073846,0.7142310556554751,0.48703759734421076,0.08356226052553262,0.09120426401087744,0.0
year_2023,annual_quarter_half,learned_order_extension,48,0.5208333333333334,0.4791666666666667,25,0.5127041742286751,0.4583333333333333,0.3958333333333333,9,16,13,10,0.47368421052631576,0.25683447574357876,0.7074144383125466,0.4908853936784588,0.07356552493822899,0.09505206034512548,0.0
year_2023,annual_quarter_half,learned_order_offset,48,0.5208333333333334,0.4791666666666667,25,0.5127041742286751,0.4583333333333333,0.3958333333333333,9,16,13,10,0.47368421052631576,0.2568437528589811,0.70741876950489,0.4912700565420824,0.07278228780666537,0.09543672320874907,0.0
year_2023,annual_quarter_half,learned_vol_interaction,48,0.5,0.5,24,0.4863883847549909,0.4375,0.3958333333333333,8,16,13,11,0.4791288566243194,0.2590604372819385,0.7123295090216533,0.48779726763135406,0.08378325251809315,0.09196393429802074,0.0
year_2023,annual_quarter_half,native_mse,48,0.5416666666666666,0.4583333333333333,26,0.52994555353902,0.4375,0.3958333333333333,9,17,12,10,0.41560798548094374,,,,,,
year_2023,annual_quarter_half,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.38021778584392013,0.2514968035087813,0.6961409748414048,0.5052751781615806,0.0018775273148149512,0.10944184482824731,0.0
year_2023,annual_shared_offset,learned_market,48,0.4166666666666667,0.5833333333333334,20,0.3901996370235935,0.3958333333333333,0.3958333333333333,5,15,14,14,0.397459165154265,0.27140672400361227,0.7371973633370276,0.4867596896253407,0.09649204505505862,0.0909263562920074,0.0
year_2023,annual_shared_offset,learned_order_extension,48,0.4375,0.5625,21,0.42558983666061706,0.4583333333333333,0.3958333333333333,7,14,15,12,0.4101633393829401,0.26621033541916317,0.7262180841042799,0.49065033280202663,0.08411517765124084,0.09481699946869332,0.0
year_2023,annual_shared_offset,learned_order_offset,48,0.4375,0.5625,21,0.42558983666061706,0.4583333333333333,0.3958333333333333,7,14,15,12,0.4101633393829401,0.26603302755508756,0.7258393894532488,0.49118655541713174,0.0832695736747827,0.09535322208379843,0.0
year_2023,annual_shared_offset,learned_vol_interaction,48,0.4375,0.5625,21,0.42558983666061706,0.4583333333333333,0.3958333333333333,7,14,15,12,0.3992740471869328,0.2712421400579196,0.7369622758723043,0.4883848142856316,0.09631673769836217,0.09255148095229826,0.0
year_2023,annual_shared_offset,native_mse,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
year_2023,annual_shared_offset,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.5,0.2506114962840729,0.6943701868881638,0.5028949545078577,0.0,0.10706162117452439,0.0
year_2023,annual_state_offset,learned_market,48,0.4583333333333333,0.5416666666666666,22,0.4246823956442831,0.3541666666666667,0.3958333333333333,5,17,12,14,0.40834845735027225,0.26867285468012475,0.7316586467958824,0.4757853679320889,0.09580083232993898,0.0799520345987556,0.0
year_2023,annual_state_offset,learned_order_extension,48,0.4166666666666667,0.5833333333333334,20,0.3901996370235935,0.3958333333333333,0.3958333333333333,5,15,14,14,0.40834845735027225,0.263202189379068,0.7201631428219436,0.47866255863181423,0.08335899578471702,0.08282922529848091,0.0
year_2023,annual_state_offset,learned_order_offset,48,0.4166666666666667,0.5833333333333334,20,0.3901996370235935,0.3958333333333333,0.3958333333333333,5,15,14,14,0.4047186932849365,0.2629905274877635,0.7197145113025892,0.47912100744951136,0.08248179630620109,0.08328767411617805,0.0
year_2023,annual_state_offset,learned_vol_interaction,48,0.4375,0.5625,21,0.4165154264972777,0.4166666666666667,0.3958333333333333,6,15,14,13,0.4101633393829401,0.2683613593059329,0.7310869448977284,0.4771187276416124,0.0953985846399058,0.08128539430827908,0.0
year_2023,annual_state_offset,native_mse,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
year_2023,annual_state_offset,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.5,0.2506114962840729,0.6943701868881638,0.5028949545078577,0.0,0.10706162117452439,0.0
year_2023,annual_state_offset_half,learned_market,48,0.4375,0.5625,21,0.40744101633393826,0.375,0.3958333333333333,5,16,13,14,0.41379310344827586,0.26699141982192426,0.7281892906480417,0.4756869668297554,0.09516884395849698,0.0798536334964221,0.0
year_2023,annual_state_offset_half,learned_order_extension,48,0.3958333333333333,0.6041666666666666,19,0.37295825771324864,0.4166666666666667,0.3958333333333333,5,14,15,14,0.42286751361161523,0.26167426425974394,0.7170349740270577,0.4792670544592165,0.08269080744084971,0.08343372112588321,0.0
year_2023,annual_state_offset_half,learned_order_offset,48,0.3958333333333333,0.6041666666666666,19,0.37295825771324864,0.4166666666666667,0.3958333333333333,5,14,15,14,0.42286751361161523,0.26148297442048424,0.7166301549205173,0.4797940667643037,0.08181303664973302,0.08396073343097038,0.0
year_2023,annual_state_offset_half,learned_vol_interaction,48,0.4375,0.5625,21,0.4165154264972777,0.4166666666666667,0.3958333333333333,6,15,14,13,0.426497277676951,0.2667230773690167,0.7276919451456284,0.4771489200873911,0.09489854797110957,0.08131558675405781,0.0
year_2023,annual_state_offset_half,native_mse,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
year_2023,annual_state_offset_half,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.5,0.2506114962840729,0.6943701868881638,0.5028949545078577,0.0,0.10706162117452439,0.0
year_2023,error16,learned_market,48,0.4166666666666667,0.5833333333333334,20,0.426497277676951,0.5625,0.3958333333333333,9,11,18,10,0.41379310344827586,0.27209285195106864,0.7386932108927144,0.5024614516287248,0.08956084983002509,0.10662811829539148,0.0
year_2023,error16,learned_order_extension,48,0.3958333333333333,0.6041666666666666,19,0.40925589836660614,0.5833333333333334,0.3958333333333333,9,10,19,10,0.4101633393829401,0.27000684313669193,0.7340736352520643,0.5061547625033289,0.08055201408948698,0.1103214291699956,0.0
year_2023,error16,learned_order_offset,48,0.3958333333333333,0.6041666666666666,19,0.40925589836660614,0.5833333333333334,0.3958333333333333,9,10,19,10,0.40653357531760437,0.26980667455541435,0.7336490229056819,0.5062984450912148,0.07968739306608943,0.11046511175788148,0.0
year_2023,error16,learned_vol_interaction,48,0.3958333333333333,0.6041666666666666,19,0.40925589836660614,0.5833333333333334,0.3958333333333333,9,10,19,10,0.42286751361161523,0.2715212936153937,0.7375603091338124,0.5020945026412044,0.09025893231171678,0.10626116930787105,0.0
year_2023,error16,native_mse,48,0.5,0.5,24,0.49546279491833034,0.4791666666666667,0.3958333333333333,9,15,14,10,0.4591651542649728,,,,,,
year_2023,error16,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.43466424682395643,0.2524200344551359,0.6979883470281792,0.5080699938102203,0.005175039302362516,0.11223666047688702,0.0
year_2023,fixed_transform_add_only,learned_market,48,0.4166666666666667,0.5833333333333334,20,0.3992740471869328,0.4375,0.3958333333333333,6,14,15,13,0.3938294010889292,0.2698858220736695,0.7341491722413943,0.4888541423976777,0.08535842072248842,0.0930208090643444,0.0
year_2023,fixed_transform_add_only,learned_order_extension,48,0.4375,0.5625,21,0.42558983666061706,0.4583333333333333,0.3958333333333333,7,14,15,12,0.4101633393829401,0.26330585376297,0.7204251173550715,0.4957944245656389,0.06692070521205247,0.09996109123230557,0.0
year_2023,fixed_transform_add_only,learned_order_offset,48,0.3958333333333333,0.6041666666666666,19,0.3911070780399274,0.5,0.3958333333333333,7,12,17,12,0.4010889292196007,0.2638635579046478,0.7215273950028794,0.49799672556486896,0.06550777425050461,0.10216339223153564,0.0
year_2023,fixed_transform_add_only,learned_vol_interaction,48,0.4375,0.5625,21,0.42558983666061706,0.4583333333333333,0.3958333333333333,7,14,15,12,0.38838475499092556,0.26839909632513576,0.731128606138467,0.49229509676030614,0.08031913542285642,0.09646176342697282,0.0
year_2023,fixed_transform_add_only,native_mse,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
year_2023,fixed_transform_add_only,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.4237749546279492,0.25122979477216445,0.6956069279513493,0.5041807383667978,0.0023426131410682373,0.10834740503346446,0.0
year_2023,fixed_transform_remove_only,learned_market,48,0.4375,0.5625,21,0.42558983666061706,0.4583333333333333,0.3958333333333333,7,14,15,12,0.41742286751361163,0.2695547450295048,0.7333335586897688,0.4888677959638799,0.09691417171409808,0.0930344626305466,0.0
year_2023,fixed_transform_remove_only,learned_order_extension,48,0.4583333333333333,0.5416666666666666,22,0.4519056261343013,0.4791666666666667,0.3958333333333333,8,14,15,11,0.42105263157894735,0.26537561975992713,0.7244919649468988,0.4942181063983648,0.0853640044741416,0.09838477306503146,0.0
year_2023,fixed_transform_remove_only,learned_order_offset,48,0.4583333333333333,0.5416666666666666,22,0.4519056261343013,0.4791666666666667,0.3958333333333333,8,14,15,11,0.4192377495462795,0.26490890904707387,0.7235317947625434,0.49339796734289204,0.08479782676238486,0.09756463400955873,0.0
year_2023,fixed_transform_remove_only,learned_vol_interaction,48,0.4583333333333333,0.5416666666666666,22,0.4519056261343013,0.4791666666666667,0.3958333333333333,8,14,15,11,0.41742286751361163,0.2694626686646805,0.7331827002603769,0.4896031929813565,0.09789394033273267,0.0937698596480232,0.0
year_2023,fixed_transform_remove_only,native_mse,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
year_2023,fixed_transform_remove_only,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.48911070780399274,0.2519355855280624,0.697019033733406,0.5068347914218289,0.0045426860849646184,0.11100145808849554,0.0
year_2023,fixed_transform_step100,learned_market,48,0.4375,0.5625,21,0.43466424682395643,0.5,0.3958333333333333,8,13,16,11,0.3793103448275862,0.2746639107809141,0.7439409442291384,0.502199106973112,0.08782022840660539,0.10636577363977867,0.0
year_2023,fixed_transform_step100,learned_order_extension,48,0.3541666666666667,0.6458333333333334,17,0.37477313974591653,0.625,0.3958333333333333,9,8,21,10,0.3992740471869328,0.2697366542936563,0.7333899546295388,0.5117779177924152,0.0706877396000439,0.1159445844590819,0.0
year_2023,fixed_transform_step100,learned_order_offset,48,0.375,0.625,18,0.4010889292196007,0.6458333333333334,0.3958333333333333,10,8,21,9,0.38838475499092556,0.2699861222214068,0.7338686146360116,0.5124385502520773,0.06975568216983079,0.11660521691874398,0.0
year_2023,fixed_transform_step100,learned_vol_interaction,48,0.4583333333333333,0.5416666666666666,22,0.4609800362976406,0.5208333333333334,0.3958333333333333,9,13,16,10,0.38656987295825773,0.27368638774748955,0.7419256023818258,0.505951607968757,0.08381624758923867,0.11011827463542373,0.0
year_2023,fixed_transform_step100,native_mse,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
year_2023,fixed_transform_step100,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.38021778584392013,0.25240049188040886,0.6979489182052795,0.5076554018153036,0.0037550546296298976,0.11182206848197024,0.0
year_2023,fixed_transform_step25,learned_market,48,0.4375,0.5625,21,0.4165154264972777,0.4166666666666667,0.3958333333333333,6,15,14,13,0.4192377495462795,0.26739126468023994,0.7289896139481303,0.4821566663166495,0.09256852280021376,0.08632333298331618,0.0
year_2023,fixed_transform_step25,learned_order_extension,48,0.4375,0.5625,21,0.4165154264972777,0.4166666666666667,0.3958333333333333,6,15,14,13,0.41742286751361163,0.2620326134884248,0.7177689543393914,0.4876399008301661,0.0782228526628473,0.0918065674968328,0.0
year_2023,fixed_transform_step25,learned_order_offset,48,0.4375,0.5625,21,0.4165154264972777,0.4166666666666667,0.3958333333333333,6,15,14,13,0.4246823956442831,0.261891824743338,0.7174775055321486,0.4882629114833339,0.07701861639292738,0.09242957815000058,0.0
year_2023,fixed_transform_step25,learned_vol_interaction,48,0.4375,0.5625,21,0.4165154264972777,0.4166666666666667,0.3958333333333333,6,15,14,13,0.4192377495462795,0.26685379547711574,0.7279333531428502,0.4841912644686966,0.09124223161363473,0.08835793113536328,0.0
year_2023,fixed_transform_step25,native_mse,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
year_2023,fixed_transform_step25,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.38021778584392013,0.25240049188040886,0.6979489182052795,0.5076554018153036,0.0037550546296298976,0.11182206848197024,0.0
year_2023,fixed_transform_step50,learned_market,48,0.4375,0.5625,21,0.42558983666061706,0.4583333333333333,0.3958333333333333,7,14,15,12,0.4010889292196007,0.2695753112370917,0.733481774201918,0.488791303920733,0.09038800320320832,0.09295797058739969,0.0
year_2023,fixed_transform_step50,learned_order_extension,48,0.4375,0.5625,21,0.42558983666061706,0.4583333333333333,0.3958333333333333,7,14,15,12,0.41197822141560797,0.2641799202013959,0.7221473933970639,0.4955870814416053,0.0743962896153217,0.09975374810827198,0.0
year_2023,fixed_transform_step50,learned_order_offset,48,0.4375,0.5625,21,0.42558983666061706,0.4583333333333333,0.3958333333333333,7,14,15,12,0.41197822141560797,0.26412272598603664,0.722024923368885,0.49624079363013873,0.07300500671521987,0.10040746029680542,0.0
year_2023,fixed_transform_step50,learned_vol_interaction,48,0.4583333333333333,0.5416666666666666,22,0.4519056261343013,0.4791666666666667,0.3958333333333333,8,14,15,11,0.4047186932849365,0.26880232633256346,0.7319365954393652,0.491343362646155,0.0879475965741638,0.09551002931282171,0.0
year_2023,fixed_transform_step50,native_mse,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
year_2023,fixed_transform_step50,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.38021778584392013,0.25240049188040886,0.6979489182052795,0.5076554018153036,0.0037550546296298976,0.11182206848197024,0.0
year_2023,rolling5_annual20,learned_market,48,0.4375,0.5625,21,0.40744101633393826,0.375,0.3958333333333333,5,16,13,14,0.4283121597096189,0.26545593566752973,0.7250032514830308,0.47560551421998504,0.0952453883812954,0.07977218088665172,0.0
year_2023,rolling5_annual20,learned_order_extension,48,0.4166666666666667,0.5833333333333334,20,0.3901996370235935,0.3958333333333333,0.3958333333333333,5,15,14,14,0.4337568058076225,0.2603128341849292,0.7142327123994728,0.4798834712804963,0.08297966192655283,0.08405013794716298,0.0
year_2023,rolling5_annual20,learned_order_offset,48,0.4166666666666667,0.5833333333333334,20,0.3901996370235935,0.3958333333333333,0.3958333333333333,5,15,14,14,0.4355716878402904,0.26014420853009396,0.7138766036986981,0.48047895095207416,0.08212455145901379,0.08464561761874084,0.0
year_2023,rolling5_annual20,learned_vol_interaction,48,0.4375,0.5625,21,0.4165154264972777,0.4166666666666667,0.3958333333333333,6,15,14,13,0.4319419237749546,0.26523459990523673,0.724590435336399,0.47719418128497315,0.0951375768409784,0.08136084795163984,0.0
year_2023,rolling5_annual20,native_mse,48,0.5,0.5,24,0.46823956442831216,0.3541666666666667,0.3958333333333333,6,18,11,13,0.41197822141560797,,,,,,
year_2023,rolling5_annual20,training_frequency,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.5,0.2506114962840729,0.6943701868881638,0.5028949545078577,0.0,0.10706162117452439,0.0
year_2023,rolling5_matched,learned_market,48,0.4791666666666667,0.5208333333333334,23,0.49637023593466423,0.5833333333333334,0.3958333333333333,11,12,17,8,0.47368421052631576,0.29902876761228514,0.8115521539597227,0.5002274687341699,0.19030462020993952,0.10439413540083659,0.0
