period,method,case,n,annual_correct,both_correct,mean_add_without_remove,mean_add_after_remove,mean_remove_without_add,mean_remove_after_add,mean_nonadditive,mean_add_effect,mean_remove_effect,mean_total_delta,mean_signed_add_without_remove,mean_signed_add_after_remove,mean_signed_remove_without_add,mean_signed_remove_after_add,mean_signed_nonadditive,mean_signed_add_effect,mean_signed_remove_effect,mean_signed_total_delta,dominant_add,dominant_remove,dominant_tie,dominant_none
pooled_2021_2026,learned_vol_interaction,stable_correct,122,122,122,0.0027150505094670424,0.005156420080849734,-0.006533557922784141,-0.0040921883514014505,0.002441369571382691,0.003935735295158388,-0.005312873137092796,-0.0013771378419344077,-0.00700049981882789,-0.006723383878644562,-0.002213952602121475,-0.0019368366619381468,0.0002771159401833273,-0.006861941848736227,-0.002075394632029811,-0.008937336480766039,42,26,0,54
pooled_2021_2026,learned_vol_interaction,stable_wrong,122,0,0,-0.0017765538170920552,-0.00012022187310711955,-0.00459368982533777,-0.0029373578813528356,0.0016563319439849356,-0.0009483878450995873,-0.0037655238533453026,-0.00471391169844489,0.00861996102343141,0.0094435111296599,-0.003416116450007718,-0.002592566343779229,0.000823550106228489,0.009031736076545656,-0.003004341396893474,0.006027394679652182,22,45,0,55
year_2021,learned_market,all,50,29,28,-0.003856498163845915,-0.0030331665666555236,-0.008211758595706149,-0.007388426998515759,0.000823331597190392,-0.0034448323652507195,-0.007800092797110954,-0.011244925162361672,0.0023302756331377043,0.002230519458512753,-0.0010198907922017277,-0.0011196469668266788,-9.975617462495218e-05,0.002280397545825229,-0.0010697688795142037,0.0012106286663110257,9,18,0,23
year_2021,learned_market,regression,2,2,0,0.003884039522937042,0.007984194596622843,0.006477711539950018,0.01057786661363582,0.004100155073685802,0.005934117059779942,0.008527789076792917,0.014461906136572859,-0.008834306995989999,-0.013708885145295427,-0.031484319629954044,-0.03635889777925947,-0.004874578149305428,-0.011271596070642714,-0.033921608704606754,-0.04519320477524947,0,2,0,0
year_2021,learned_market,recovery,1,0,1,-0.018500019072340685,-0.0170613206013831,-0.05858481782890527,-0.05714611935794769,0.0014386984709575852,-0.017780669836861895,-0.05786546859342648,-0.07564613843028838,0.018500019072340685,0.0170613206013831,0.05858481782890527,0.05714611935794769,-0.0014386984709575852,0.017780669836861895,0.05786546859342648,0.07564613843028838,0,0,0,1
year_2021,learned_market,stable_correct,27,27,27,-0.0011906188751733453,0.00011385466220861784,-0.008696765979833902,-0.007392292442451937,0.0013044735373819625,-0.0005383821064823634,-0.008044529211142919,-0.008582911317625282,-0.0014561612651387773,-0.0015781202345346605,-0.006042259935870631,-0.006164218905266515,-0.00012195896939588439,-0.0015171407498367191,-0.006103239420568574,-0.007620380170405293,4,11,0,12
year_2021,learned_market,stable_wrong,20,0,0,-0.007497312926807442,-0.007681973640213573,-0.00650729267903935,-0.006691953392445477,-0.00018466071340612891,-0.007589643283510507,-0.006599623035742412,-0.014189266319252918,0.007749936536763575,0.008224583447364063,0.005826515004471174,0.006301161915071661,0.00047464691060048554,0.00798725999206382,0.006063838459771419,0.014051098451835237,5,5,0,10
year_2021,learned_order_extension,all,50,29,28,-0.006978066540404471,-0.007205205439283459,-0.007092376157710722,-0.007319515056589711,-0.0002271388988789882,-0.007091635989843964,-0.007205945607150216,-0.01429758159699418,0.002173522643145762,0.002030103362558736,0.001011997859501467,0.0008685785789144412,-0.0001434192805870274,0.002101813002852249,0.0009402882192079537,0.003042101222060203,10,18,0,22
year_2021,learned_order_extension,regression,2,2,0,0.007495005277615494,0.015194021932030946,-0.004770686828487358,0.0029283298259280936,0.007699016654415451,0.01134451360482322,-0.000921178501279634,0.010423335103543586,-0.012006281112525765,-0.019596664179822264,-0.029332136729736946,-0.03692251979703344,-0.007590383067296498,-0.015801472646174014,-0.0331273282633852,-0.048928800909559214,0,2,0,0
year_2021,learned_order_extension,recovery,1,0,1,-0.01890162600109115,-0.017997734448398195,-0.06865191266103214,-0.06774802110833918,0.0009038915526929555,-0.018449680224744674,-0.06819996688468566,-0.08664964710943034,0.01890162600109115,0.017997734448398195,0.06865191266103214,0.06774802110833918,-0.0009038915526929555,0.018449680224744674,0.06819996688468566,0.08664964710943034,0,0,0,1
