arm,job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
remove,remove_learned_order_offset_2023-03-31_20260910,brentq,True,11,,1.1102230246251565e-16,3.695719945351339e-15,1.6819878823071122e-14
add,add_learned_market_2023-03-31_20260911,L-BFGS-B,True,75,6.924222173410044e-08,5.551115123125783e-15,5.955288144240435e-09,
add,add_learned_vol_interaction_2023-03-31_20260911,L-BFGS-B,True,79,7.063705109722207e-08,1.7763568394002505e-15,9.735744336013047e-09,
add,add_learned_order_extension_2023-03-31_20260911,L-BFGS-B,True,75,8.34503020019639e-08,2.55351295663786e-15,5.576259459174823e-09,
add,add_learned_order_offset_2023-03-31_20260911,brentq,True,10,,0.0,1.7889335846010823e-18,5.551115123125783e-17
remove,remove_learned_market_2023-03-31_20260911,L-BFGS-B,True,74,1.4520722912969575e-07,4.440892098500626e-15,2.1492799437330262e-08,
remove,remove_learned_vol_interaction_2023-03-31_20260911,L-BFGS-B,True,74,8.685434538246994e-08,4.551914400963142e-15,9.332748475291211e-09,
remove,remove_learned_order_extension_2023-03-31_20260911,L-BFGS-B,True,79,6.005292818578312e-08,1.4432899320127035e-15,9.527710789894233e-09,
remove,remove_learned_order_offset_2023-03-31_20260911,brentq,True,9,,1.1102230246251565e-16,4.756937031780151e-18,4.2342006636997276e-12
add,add_learned_market_2023-03-31_20260912,L-BFGS-B,True,70,1.1975440994405062e-07,3.3306690738754696e-15,6.603229021082471e-09,
add,add_learned_vol_interaction_2023-03-31_20260912,L-BFGS-B,True,67,9.552491908593197e-08,3.1086244689504383e-15,7.587622722401294e-09,
add,add_learned_order_extension_2023-03-31_20260912,L-BFGS-B,True,75,4.857163848903667e-08,1.1102230246251565e-15,4.663560155345088e-09,
add,add_learned_order_offset_2023-03-31_20260912,brentq,True,10,,1.1102230246251565e-16,3.903127820947816e-18,1.7370493932133968e-11
remove,remove_learned_market_2023-03-31_20260912,L-BFGS-B,True,71,8.669208800826667e-08,1.887379141862766e-15,9.931350700371003e-09,
remove,remove_learned_vol_interaction_2023-03-31_20260912,L-BFGS-B,True,71,7.128919532473077e-08,1.5543122344752192e-15,8.702082685083795e-09,
remove,remove_learned_order_extension_2023-03-31_20260912,L-BFGS-B,True,72,9.004632151032865e-08,4.107825191113079e-15,6.365678296765473e-09,
remove,remove_learned_order_offset_2023-03-31_20260912,brentq,True,11,,0.0,2.168404344971009e-19,1.146166495047396e-12
add,add_learned_market_2023-06-30_20260910,L-BFGS-B,True,80,3.35789315242252e-08,7.771561172376096e-16,6.720063706238191e-09,
add,add_learned_vol_interaction_2023-06-30_20260910,L-BFGS-B,True,81,1.0639548841950841e-07,2.9976021664879227e-15,1.6789165748843163e-08,
add,add_learned_order_extension_2023-06-30_20260910,L-BFGS-B,True,84,9.954338242579297e-08,4.6629367034256575e-15,1.3168308433340317e-08,
add,add_learned_order_offset_2023-06-30_20260910,brentq,True,12,,0.0,1.5178830414797062e-18,3.58046925441613e-15
remove,remove_learned_market_2023-06-30_20260910,L-BFGS-B,True,84,7.577656474522243e-08,1.3322676295501878e-15,6.119353429577881e-09,
remove,remove_learned_vol_interaction_2023-06-30_20260910,L-BFGS-B,True,84,7.4394270965783e-08,3.219646771412954e-15,1.3722663590306702e-08,
remove,remove_learned_order_extension_2023-06-30_20260910,L-BFGS-B,True,78,7.586847011742393e-08,3.219646771412954e-15,5.873483590766379e-09,
remove,remove_learned_order_offset_2023-06-30_20260910,brentq,True,12,,1.1102230246251565e-16,1.5178830414797062e-18,4.676814491233472e-15
add,add_learned_market_2023-06-30_20260911,L-BFGS-B,True,73,7.389522094225498e-08,3.6637359812630166e-15,6.639229041104783e-09,
add,add_learned_vol_interaction_2023-06-30_20260911,L-BFGS-B,True,76,9.722031046877078e-08,3.4416913763379853e-15,8.448555885323759e-09,
add,add_learned_order_extension_2023-06-30_20260911,L-BFGS-B,True,76,6.273991515204358e-08,1.1102230246251565e-15,8.214195813122105e-09,
add,add_learned_order_offset_2023-06-30_20260911,brentq,True,11,,2.220446049250313e-16,1.328147661294743e-17,2.0816681711721685e-17
remove,remove_learned_market_2023-06-30_20260911,L-BFGS-B,True,79,5.351109388929132e-08,1.4432899320127035e-15,4.192637383267344e-09,
remove,remove_learned_vol_interaction_2023-06-30_20260911,L-BFGS-B,True,72,5.154191073941661e-08,1.4432899320127035e-15,5.8430593140616424e-09,
remove,remove_learned_order_extension_2023-06-30_20260911,L-BFGS-B,True,75,5.222662624593255e-08,1.2212453270876722e-15,5.737805853166765e-09,
remove,remove_learned_order_offset_2023-06-30_20260911,brentq,True,9,,1.1102230246251565e-16,3.582095557674858e-15,4.056080124548167e-12
add,add_learned_market_2023-06-30_20260912,L-BFGS-B,True,71,8.326343109432699e-08,2.886579864025407e-15,1.4870935910633876e-08,
add,add_learned_vol_interaction_2023-06-30_20260912,L-BFGS-B,True,73,5.1362010533573255e-08,7.771561172376096e-16,6.73554440434182e-09,
add,add_learned_order_extension_2023-06-30_20260912,L-BFGS-B,True,68,8.521293792806972e-08,1.9984014443252818e-15,4.799762660673973e-09,
add,add_learned_order_offset_2023-06-30_20260912,brentq,True,11,,0.0,5.5077470362263625e-17,7.695066805979422e-12
remove,remove_learned_market_2023-06-30_20260912,L-BFGS-B,True,72,1.1510236241907279e-07,3.774758283725532e-15,2.278209100666992e-08,
remove,remove_learned_vol_interaction_2023-06-30_20260912,L-BFGS-B,True,72,6.787074202652121e-08,1.4432899320127035e-15,1.099518257365907e-08,
remove,remove_learned_order_extension_2023-06-30_20260912,L-BFGS-B,True,76,1.494777505106626e-07,7.771561172376096e-15,3.349163001683912e-08,
remove,remove_learned_order_offset_2023-06-30_20260912,brentq,True,12,,1.1102230246251565e-16,1.3010426069826053e-18,2.1800311555963958e-11
add,add_learned_market_2023-09-30_20260910,L-BFGS-B,True,74,1.5292164640134942e-07,9.43689570931383e-15,1.1692074280110487e-08,
add,add_learned_vol_interaction_2023-09-30_20260910,L-BFGS-B,True,81,9.013018265058292e-08,1.5543122344752192e-15,1.3357189281598832e-08,
add,add_learned_order_extension_2023-09-30_20260910,L-BFGS-B,True,81,1.2169184493426854e-07,4.107825191113079e-15,1.4659582798430375e-08,
add,add_learned_order_offset_2023-09-30_20260910,brentq,True,11,,0.0,2.9026260561781925e-15,1.176836406102666e-14
remove,remove_learned_market_2023-09-30_20260910,L-BFGS-B,True,76,8.805447959669976e-08,4.6629367034256575e-15,5.719429185899877e-09,
remove,remove_learned_vol_interaction_2023-09-30_20260910,L-BFGS-B,True,84,1.0647591586199212e-07,4.551914400963142e-15,9.5912848874051e-09,
