history,method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
annual_quarter_half,learned_vol_interaction,2022,49,0.3877551020408163,0.6122448979591837,19,0.4362068965517241,0.7755102040816326,0.40816326530612246,14,5,24,6,0.36379310344827587,0.2927440485307118,0.7812929999117457,0.5695636219918834,0.08117976507711624,0.16140035668576092,0.0
annual_quarter_half,learned_vol_interaction,2023,48,0.5,0.5,24,0.4863883847549909,0.4375,0.3958333333333333,8,16,13,11,0.4791288566243194,0.2590604372819385,0.7123295090216533,0.48779726763135406,0.08378325251809315,0.09196393429802074,0.0
annual_quarter_half,learned_vol_interaction,2024,47,0.6595744680851063,0.3404255319148936,31,0.6527272727272727,0.3829787234042553,0.46808510638297873,12,19,6,10,0.6672727272727272,0.22948746579933124,0.6512813113191162,0.4768457033690165,0.09427023002323723,0.00876059698603776,0.0
annual_quarter_half,learned_vol_interaction,2025,48,0.5,0.5,24,0.5222222222222223,0.4166666666666667,0.625,13,11,7,17,0.5277777777777778,0.26040235762829966,0.7152844587825373,0.4763948191892246,0.08057338809730175,-0.1486051808107754,0.0
annual_quarter_half,learned_vol_interaction,2026,30,0.3333333333333333,0.6666666666666666,10,0.33035714285714285,0.4666666666666667,0.4666666666666667,4,6,10,10,0.32142857142857145,0.2642228592730456,0.7216192319717479,0.4919562489354366,0.04858545965109073,0.025289582268769928,0.0
annual_quarter_half,native_mse,2021,50,0.58,0.42,29,0.5853462157809983,0.56,0.46,15,14,13,8,0.6183574879227053,,,,,,
annual_quarter_half,native_mse,2022,49,0.3877551020408163,0.6122448979591837,19,0.42844827586206896,0.7346938775510204,0.40816326530612246,13,6,23,7,0.4017241379310345,,,,,,
annual_quarter_half,native_mse,2023,48,0.5416666666666666,0.4583333333333333,26,0.52994555353902,0.4375,0.3958333333333333,9,17,12,10,0.41560798548094374,,,,,,
annual_quarter_half,native_mse,2024,47,0.6170212765957447,0.3829787234042553,29,0.6236363636363637,0.5957446808510638,0.46808510638297873,16,13,12,6,0.610909090909091,,,,,,
annual_quarter_half,native_mse,2025,48,0.5208333333333334,0.4791666666666667,25,0.55,0.3958333333333333,0.625,13,12,6,17,0.5018518518518519,,,,,,
annual_quarter_half,native_mse,2026,30,0.5333333333333333,0.4666666666666667,16,0.5089285714285714,0.13333333333333333,0.4666666666666667,2,14,2,12,0.46875,,,,,,
annual_quarter_half,training_frequency,2021,50,0.46,0.54,23,0.5,1.0,0.46,23,0,27,0,0.47665056360708535,0.2576124932135134,0.7084496123631606,0.5559070302270824,0.001129542061639578,0.09590703022708241,0.0
annual_quarter_half,training_frequency,2022,49,0.40816326530612246,0.5918367346938775,20,0.5,1.0,0.40816326530612246,20,0,29,0,0.39482758620689656,0.25909865227738554,0.7113896811996363,0.5373152298029238,0.005879740287661638,0.12915196449680133,0.0
annual_quarter_half,training_frequency,2023,48,0.3958333333333333,0.6041666666666666,19,0.5,1.0,0.3958333333333333,19,0,29,0,0.38021778584392013,0.2514968035087813,0.6961409748414048,0.5052751781615806,0.0018775273148149512,0.10944184482824731,0.0
