arm,history,cutoff,seed,epoch,train_n,presentations,optimizer_steps,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse
dropout,drop_middle,2018-12-31,20260910,2,1537,1921,16,1.1020502130666292,,,
dropout,drop_middle,2018-12-31,20260910,3,1537,1921,16,1.0885103769069038,,,
dropout,drop_middle,2018-12-31,20260910,4,1537,1921,16,1.0980723780356367,,,
dropout,drop_middle,2018-12-31,20260910,5,1537,1921,16,1.100968450781022,,,
dropout,drop_middle,2018-12-31,20260910,6,1537,1921,16,1.0729126875627668,,,
dropout,drop_middle,2018-12-31,20260910,7,1537,1921,16,1.0955654047991943,,,
dropout,drop_middle,2018-12-31,20260910,8,1537,1921,16,1.0424339504430593,,,
dropout,drop_middle,2018-12-31,20260910,9,1537,1921,16,1.057690998776886,,,
dropout,drop_middle,2018-12-31,20260910,10,1537,1921,16,1.051239650861352,0.8980763844646412,1.0518266457043923,0.0006943744624154769
decay,drop_middle,2018-12-31,20260910,1,1537,1921,16,1.0981352173804244,,,
decay,drop_middle,2018-12-31,20260910,2,1537,1921,16,1.0999520250684827,,,
decay,drop_middle,2018-12-31,20260910,3,1537,1921,16,1.0878974324027304,,,
decay,drop_middle,2018-12-31,20260910,4,1537,1921,16,1.097473709286035,,,
decay,drop_middle,2018-12-31,20260910,5,1537,1921,16,1.0996306988234665,,,
decay,drop_middle,2018-12-31,20260910,6,1537,1921,16,1.0689002648422583,,,
decay,drop_middle,2018-12-31,20260910,7,1537,1921,16,1.0816939692985013,,,
decay,drop_middle,2018-12-31,20260910,8,1537,1921,16,1.0260579752338732,,,
decay,drop_middle,2018-12-31,20260910,9,1537,1921,16,1.026084605571443,,,
decay,drop_middle,2018-12-31,20260910,10,1537,1921,16,0.9953436672780615,0.8289544274454855,1.020185030429644,0.0008193186926630768
combined,drop_middle,2018-12-31,20260910,1,1537,1921,16,1.1032042233724262,,,
combined,drop_middle,2018-12-31,20260910,2,1537,1921,16,1.1018509420487237,,,
combined,drop_middle,2018-12-31,20260910,3,1537,1921,16,1.0888329308086357,,,
combined,drop_middle,2018-12-31,20260910,4,1537,1921,16,1.0984669050578957,,,
combined,drop_middle,2018-12-31,20260910,5,1537,1921,16,1.1029584959696228,,,
combined,drop_middle,2018-12-31,20260910,6,1537,1921,16,1.0797572760827712,,,
combined,drop_middle,2018-12-31,20260910,7,1537,1921,16,1.1128141753751744,,,
combined,drop_middle,2018-12-31,20260910,8,1537,1921,16,1.0802128305042988,,,
combined,drop_middle,2018-12-31,20260910,9,1537,1921,16,1.1052028769195732,,,
combined,drop_middle,2018-12-31,20260910,10,1537,1921,16,1.109935395113197,0.9998456188704802,1.0040215420195555,0.0007330816589067691
